electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,municipality_code,postcode,address,canton,commissioning_date,contract_period_end,company,tariff,project_name,production
0.755,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH05,CH057,9.0353,47.5619,Bissegg,8514,8514.0,Holzhof / Hüttlingerstrasse 22,TG,2004-07-01,2024-12-31,Otto Wartmann,578451.74,BHKW Wartmann Holzhof Bissegg ,1127.5048399999998
0.08,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH05,CH056,9.8393,46.8083,Davos Dorf,7260,7260.0,Duchliweg 13,GR,2004-11-24,2024-12-31,Davos Biogas GmbH,228421.43000000002,Biogasanlage Davos,499.12110000000007
0.26,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH06,CH061,8.2363,47.2278,Ermensee,6294,6294.0,Grundacher 2,LU,2005-10-04,2025-12-31,Armin Müller-Flühler,622598.25,B BHKW Armin Müller-Flühler Ermensee,1475.0227800000002
0.45,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH02,CH021,7.2549,47.1691,Frinvillier,2535,2535.0,Rue du canal 41,BE,2006-01-01,2031-12-31,Hydroelectra AG,349496.83999999973,Wasserkraftanlage Frinvillier,1327.9368
0.48,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH01,CH012,7.9084,46.2942,Visp,3930,3930.0,Grosseye 12,VS,2006-01-01,2026-12-31,Val Biogas GmbH,598309.7399999999,Biogas Val Visp,1425.6042750000004
0.0018,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.8935,46.6874,Boenigen,3806,3806.0,,BE,2006-01-01,2031-12-31,Natural person,1245.75,Natural person,1.661
0.0022,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.7421,46.9656,Lauperswil,3438,3438.0,,BE,2006-01-03,2031-12-31,Natural person,1863.0,Natural person,2.07
0.112,Renewable energy,Bioenergy,Sewage and landfill gas,,BFE,CH0,CH01,CH012,7.2183,46.066,Le Châble,1934,1934.0,Chemin de Profray 5,VS,2006-01-09,2026-12-31,Services Industriels de Bagnes (SIB),100670.59000000003,CCF Step de Profray Le Châble,427.55475
0.39,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH03,CH032,7.5303,47.4382,Zwingen,4222,4222.0,Schlossgasse 13,BL,2006-01-09,2031-12-31,EBL (Genossenschaft Elektra Baselland),364460.09,Kraftwerk Obermatt-Zwingen,1639.917734
0.0023,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.4576,47.4822,Rodersdorf,4118,4118.0,,SO,2006-01-12,2031-12-31,Natural person,721.83,Natural person,0.962441
0.0021,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6332,46.6413,Echallens,1040,1040.0,,VD,2006-01-15,2031-12-31,Natural person,1526.8,Natural person,2.048
0.11,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH01,CH012,7.8524,46.2384,Törbel,3923,3923.0,,VS,2006-01-16,2031-12-31,KWT Törbel Moosalp AG ,55635.419999999984,TWKW Schwarze Tschuggo,188.33917499999998
